iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	72.8132324219	79.6432723999	62.0695648193
10	1.3044087887	1.2460716963	1.2940481901
20	0.2785858214	0.2546373308	0.2937828302
30	0.0816833451	0.0806540176	0.0857394189
40	0.0281939469	0.0309470911	0.0313210338
50	0.0104187019	0.0129529526	0.0127371717
60	0.0045188498	0.0064834012	0.0052499855
70	0.0021924386	0.0040089679	0.0026108972
80	0.0013153615	0.0030078429	0.0015618209
90	0.0008348477	0.0025168485	0.0010934822
100	0.0005998756	0.0022917949	0.0008777519
110	0.0004859236	0.0021673902	0.0007623415
120	0.0004292938	0.0021032135	0.0006975546
130	0.0004030833	0.0020729920	0.0006680221
140	0.0003870198	0.0020563006	0.0006521356
150	0.0003793935	0.0020473555	0.0006446475
160	0.0003754009	0.0020429466	0.0006400173
170	0.0003730328	0.0020408963	0.0006374239
180	0.0003715883	0.0020401147	0.0006362025
190	0.0003708841	0.0020397278	0.0006353298
200	0.0003705924	0.0020393166	0.0006351509
210	0.0003704453	0.0020390730	0.0006349644
220	0.0003702212	0.0020388642	0.0006348072
230	0.0003701135	0.0020386830	0.0006347248
240	0.0003701135	0.0020385624	0.0006346307
250	0.0003701135	0.0020384919	0.0006345522
260	0.0003701135	0.0020384181	0.0006344332
270	0.0003701135	0.0020384088	0.0006343970
280	0.0003701135	0.0020384088	0.0006343271
290	0.0003701135	0.0020384088	0.0006343254
300	0.0003701135	0.0020384088	0.0006343254
310	0.0003701135	0.0020384088	0.0006343254
320	0.0003701135	0.0020384088	0.0006343254
330	0.0003701135	0.0020384088	0.0006343254
340	0.0003701135	0.0020384088	0.0006343254
350	0.0003701135	0.0020384088	0.0006343254
360	0.0003701135	0.0020384088	0.0006343254
370	0.0003701135	0.0020384088	0.0006343254
380	0.0003701135	0.0020384088	0.0006343254
390	0.0003701135	0.0020384088	0.0006343254
