iter	grad_loss
0	3.964777
10	0.873030
20	0.564881
30	0.303694
40	0.179695
50	0.114850
60	0.072368
70	0.051557
80	0.038782
90	0.031566
100	0.025731
110	0.020453
120	0.016732
130	0.012690
140	0.010153
150	0.008725
160	0.007610
170	0.006581
180	0.005666
190	0.003984
200	0.003238
210	0.002600
220	0.002136
230	0.001748
240	0.001432
250	0.001069
260	0.000790
270	0.000591
280	0.000469
290	0.000373
300	0.000273
310	0.000201
320	0.000154
330	0.000116
340	0.000086
350	0.000065
360	0.000051
370	0.000041
380	0.000033
390	0.000027
