iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	2.6935825348	2.6897888184	2.6624331474
10	0.8875944018	0.9591806531	47.5295410156
20	57.0886077881	85.9032821655	50.3188438416
30	57.0886077881	85.9032821655	50.3188438416
40	57.0886077881	85.9032897949	50.3188438416
50	57.0886077881	85.9032821655	50.3188438416
60	57.0886077881	85.9032821655	50.3188438416
70	57.0886077881	85.9032821655	50.3188438416
80	57.0886077881	85.9032821655	50.3188438416
90	57.0886077881	85.9032821655	50.3188438416
100	57.0886077881	85.9032745361	50.3188438416
110	57.0886077881	85.9032745361	50.3188438416
120	57.0886077881	85.9032745361	50.3188438416
130	57.0886077881	85.9032745361	50.3188438416
140	57.0886077881	85.9032745361	50.3188438416
150	57.0886077881	85.9032745361	50.3188438416
160	57.0886077881	85.9032745361	50.3188438416
170	57.0886077881	85.9032745361	50.3188438416
180	57.0886077881	85.9032745361	50.3188438416
190	57.0886077881	85.9032745361	50.3188438416
200	57.0886077881	85.9032745361	50.3188438416
210	57.0886077881	85.9032821655	50.3188438416
220	57.0886077881	85.9032897949	50.3188438416
230	57.0886077881	85.9032897949	50.3188438416
240	57.0886077881	85.9032897949	50.3188438416
250	57.0886077881	85.9032821655	50.3188438416
260	57.0886077881	85.9032745361	50.3188438416
270	57.0886077881	85.9032745361	50.3188438416
280	57.0886077881	85.9032745361	50.3188438416
290	57.0886077881	85.9032745361	50.3188438416
300	57.0886077881	85.9032745361	50.3188438416
310	57.0886077881	85.9032669067	50.3188438416
320	57.0886077881	85.9032745361	50.3188438416
330	57.0886077881	85.9032745361	50.3188438416
340	57.0886077881	85.9032745361	50.3188438416
350	57.0886077881	85.9032745361	50.3188438416
360	57.0886077881	85.9032821655	50.3188438416
370	57.0886077881	85.9032821655	50.3188438416
380	57.0886077881	85.9032821655	50.3188438416
390	57.0886077881	85.9032821655	50.3188438416
