iter	grad_loss
0	1.858091
10	55.094505
20	55.094505
30	55.094505
40	55.094505
50	55.094505
60	55.094505
70	55.094505
80	55.094505
90	55.094505
100	55.094505
110	55.094505
120	55.094505
130	55.094505
140	55.094505
150	55.094505
160	55.094505
170	55.094505
180	55.094505
190	55.094505
200	55.094505
210	55.094505
220	55.094505
230	55.094505
240	55.094505
250	55.094505
260	55.094505
270	55.094505
280	55.094505
290	55.094505
300	55.094505
310	55.094505
320	55.094505
330	55.094505
340	55.094505
350	55.094505
360	55.094505
370	55.094505
380	55.094505
390	55.094505
