iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	1.8580909967	1.8533940315	1.8517458439
10	55.0945053101	0.4084186256	0.3418977261
20	55.0945053101	0.2082902789	0.1609276235
30	55.0945053101	0.0868776441	0.0801533982
40	55.0945053101	0.0362362154	0.0462500304
50	55.0945053101	0.0170979612	0.0255531948
60	55.0945053101	0.0091182496	0.0124770598
70	55.0945053101	0.0055079916	0.0071864109
80	55.0945053101	0.0034265893	0.0047119884
90	55.0945053101	0.0021393336	0.0031792589
100	55.0945053101	0.0013266552	0.0020932260
110	55.0945053101	0.0008892971	0.0014502030
120	55.0945053101	0.0005450477	0.0010990623
130	55.0945053101	0.0003719907	0.0008438281
140	55.0945053101	0.0002666636	0.0006823797
150	55.0945053101	0.0001863030	0.0005592839
160	55.0945053101	0.0001366177	0.0004610199
170	55.0945053101	0.0001033861	0.0003888184
180	55.0945053101	0.0000856368	0.0003453346
190	55.0945053101	0.0000730130	0.0002561572
200	55.0945053101	0.0000629691	0.0002146793
210	55.0945053101	0.0000549629	0.0001930602
220	55.0945053101	0.0000483654	0.0001755451
230	55.0945053101	0.0000350264	0.0001618024
240	55.0945053101	0.0000280767	0.0001502471
250	55.0945053101	0.0000247450	0.0001408481
260	55.0945053101	0.0000210818	0.0001330832
270	55.0945053101	0.0000181489	0.0001274532
280	55.0945053101	0.0000157069	0.0001223354
290	55.0945053101	0.0000139343	0.0001181665
300	55.0945053101	0.0000126138	0.0001141571
310	55.0945053101	0.0000116579	0.0001107961
320	55.0945053101	0.0000108184	0.0001084313
330	55.0945053101	0.0000101864	0.0001064113
340	55.0945053101	0.0000095250	0.0001044534
350	55.0945053101	0.0000090865	0.0001026910
360	55.0945053101	0.0000088937	0.0001010601
370	55.0945053101	0.0000088937	0.0000997201
380	55.0945053101	0.0000088937	0.0000982990
390	55.0945053101	0.0000088937	0.0000969565
