iter	grad_loss
0	2.018076
10	0.695635
20	10.922661
30	10.922661
40	10.922661
50	10.922661
60	10.922661
70	10.922661
80	10.922661
90	10.922661
100	10.922661
110	10.922661
120	10.922661
130	10.922661
140	10.922661
150	10.922661
160	10.922661
170	10.922661
180	10.922661
190	10.922661
200	10.922661
210	10.922661
220	10.922661
230	10.922661
240	10.922661
250	10.922661
260	10.922661
270	10.922661
280	10.922661
290	10.922661
300	10.922661
310	10.922661
320	10.922661
330	10.922661
340	10.922661
350	10.922661
360	10.922661
370	10.922661
380	10.922661
390	10.922661
