iter	grad_loss
0	2.518816
10	0.506792
20	0.193008
30	0.086287
40	0.045661
50	0.021861
60	0.010816
70	0.006198
80	0.003868
90	0.002157
100	0.001246
110	0.000756
120	0.000494
130	0.000336
140	0.000234
150	0.000168
160	0.000125
170	0.000094
180	0.000074
190	0.000061
200	0.000052
210	0.000046
220	0.000040
230	0.000037
240	0.000034
250	0.000033
260	0.000031
270	0.000030
280	0.000029
290	0.000029
300	0.000028
310	0.000028
320	0.000028
330	0.000028
340	0.000028
350	0.000028
360	0.000028
370	0.000028
380	0.000028
390	0.000028
