iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	3.9631302357	3.9647767544	3.9649083614
10	0.6495854855	0.8730304837	0.8120426536
20	0.2465148568	0.5648812652	0.4566243291
30	0.0939271227	0.3036941588	0.2001540661
40	0.0370269306	0.1796947271	0.0911413282
50	0.0180967879	0.1148503944	0.0506929010
60	0.0096739838	0.0723678768	0.0310286414
70	0.0047266264	0.0515572242	0.0209565349
80	0.0023306478	0.0387817621	0.0145052066
90	0.0013168667	0.0315661877	0.0100637544
100	0.0007197876	0.0257313438	0.0065525146
110	0.0004334679	0.0204530563	0.0042887973
120	0.0002540780	0.0167324673	0.0027740872
130	0.0001528370	0.0126895737	0.0019119289
140	0.0000961980	0.0101529956	0.0013228732
150	0.0000657152	0.0087249111	0.0008466949
160	0.0000481869	0.0076102703	0.0005457324
170	0.0000373741	0.0065809954	0.0003867302
180	0.0000291697	0.0056664948	0.0002833356
190	0.0000239885	0.0039838487	0.0002136087
200	0.0000209477	0.0032376731	0.0001640740
210	0.0000185391	0.0026002740	0.0001344226
220	0.0000170233	0.0021360929	0.0001165001
230	0.0000160717	0.0017478503	0.0001047362
240	0.0000153881	0.0014324638	0.0000964693
250	0.0000148915	0.0010688256	0.0000910528
260	0.0000145386	0.0007901916	0.0000873104
270	0.0000145386	0.0005911405	0.0000846964
280	0.0000145386	0.0004693934	0.0000825363
290	0.0000145386	0.0003733350	0.0000809227
300	0.0000145386	0.0002725191	0.0000798646
310	0.0000145386	0.0002014191	0.0000790917
320	0.0000145386	0.0001537173	0.0000787086
330	0.0000145386	0.0001161574	0.0000783919
340	0.0000145386	0.0000855047	0.0000781787
350	0.0000145386	0.0000651615	0.0000781787
360	0.0000145386	0.0000514851	0.0000781787
370	0.0000145386	0.0000407934	0.0000781787
380	0.0000145386	0.0000329745	0.0000781787
390	0.0000145386	0.0000274695	0.0000781787
