iter	grad_loss
0	2.384579
10	0.876591
20	103.916771
30	103.916771
40	103.916771
50	103.916771
60	103.916771
70	103.916771
80	103.916771
90	103.916771
100	103.916771
110	103.916771
120	103.916771
130	103.916771
140	103.916771
150	103.916771
160	103.916771
170	103.916771
180	103.916771
190	103.916771
200	103.916771
210	103.916771
220	103.916771
230	103.916771
240	103.916771
250	103.916771
260	103.916771
270	103.916771
280	103.916771
290	103.916771
300	103.916771
310	103.916771
320	103.916771
330	103.916771
340	103.916771
350	103.916771
360	103.916771
370	103.916771
380	103.916771
390	103.916771
