iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	1.6410446167	1.6412523985	1.6404068470
10	0.4553835988	0.4486144781	0.4100352228
20	50.2864303589	0.2540794611	0.3014427125
30	50.2864303589	0.1112065762	0.1979292482
40	50.2864303589	0.0638181418	0.1359176040
50	50.2864303589	0.0411855429	0.1045565605
60	50.2864303589	0.0253084395	0.0826835930
70	50.2864303589	0.0170677956	0.0696044937
80	50.2864303589	0.0084598027	0.0603494644
90	50.2864303589	0.0050911019	0.0559181571
100	50.2864303589	0.0033003460	0.0533644818
110	50.2864303589	0.0020742230	0.0518228896
120	50.2864303589	0.0014587890	0.0507224426
130	50.2864303589	0.0011074935	56.1750450134
140	50.2864303589	0.0008778558	56.1750450134
150	50.2864303589	0.0006454427	56.1750450134
160	50.2864303589	0.0005021872	56.1750450134
170	50.2864303589	0.0004043809	56.1750450134
180	50.2864303589	0.0003157590	56.1750450134
190	50.2864303589	0.0002596145	56.1750450134
200	50.2864303589	0.0002173001	56.1750450134
210	50.2864303589	0.0001840569	56.1750450134
220	50.2864303589	0.0001166278	56.1750450134
230	50.2864303589	0.0000878217	56.1750450134
240	50.2864303589	0.0000702547	56.1750450134
250	50.2864303589	0.0000575391	56.1750450134
260	50.2864303589	0.0000470598	56.1750450134
270	50.2864303589	0.0000393604	56.1750450134
280	50.2864303589	0.0000328716	56.1750450134
290	50.2864303589	0.0000280467	56.1750450134
300	50.2864303589	0.0000239571	56.1750450134
310	50.2864303589	0.0000206372	56.1750450134
320	50.2864303589	0.0000179362	56.1750450134
330	50.2864303589	0.0000156614	56.1750450134
340	50.2864303589	0.0000139208	56.1750450134
350	50.2864303589	0.0000124386	56.1750450134
360	50.2864303589	0.0000112916	56.1750450134
370	50.2864303589	0.0000104289	56.1750450134
380	50.2864303589	0.0000099231	56.1750450134
390	50.2864303589	0.0000099231	56.1750450134
