iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	2.3858323097	2.3845794201	2.3838214874
10	0.7922439575	0.8765909672	107.9017562866
20	90.9646530151	103.9167709351	107.9016876221
30	90.9646530151	103.9167709351	108.3111572266
40	90.9646530151	103.9167709351	108.3111572266
50	90.9646530151	103.9167709351	108.3111572266
60	90.9646530151	103.9167709351	108.3111572266
70	90.9646530151	103.9167709351	108.3111572266
80	90.9646530151	103.9167709351	108.3111572266
90	90.9646530151	103.9167709351	108.3111572266
100	90.9646530151	103.9167709351	108.3111572266
110	90.9646530151	103.9167709351	108.3111572266
120	90.9646530151	103.9167709351	108.3111572266
130	90.9646530151	103.9167709351	108.3111572266
140	90.9646530151	103.9167709351	108.3111572266
150	90.9646530151	103.9167709351	108.3111572266
160	90.9646530151	103.9167709351	108.3111572266
170	90.9646530151	103.9167709351	108.3111572266
180	90.9646530151	103.9167709351	108.3111572266
190	90.9646530151	103.9167709351	108.3111572266
200	90.9646530151	103.9167709351	108.3111572266
210	90.9646530151	103.9167709351	108.3111572266
220	90.9646530151	103.9167709351	108.3111572266
230	90.9646530151	103.9167709351	108.3111572266
240	90.9646530151	103.9167709351	108.3111572266
250	90.9646530151	103.9167709351	108.3111572266
260	90.9646530151	103.9167709351	108.3111572266
270	90.9646530151	103.9167709351	108.3111572266
280	90.9646530151	103.9167709351	108.3111572266
290	90.9646530151	103.9167709351	108.3111572266
300	90.9646530151	103.9167709351	108.3111572266
310	90.9646530151	103.9167709351	108.3111572266
320	90.9646530151	103.9167709351	108.3111572266
330	90.9646530151	103.9167709351	108.3111572266
340	90.9646530151	103.9167709351	108.3111572266
350	90.9646530151	103.9167709351	108.3111572266
360	90.9646530151	103.9167709351	108.3111572266
370	90.9646530151	103.9167709351	108.3111572266
380	90.9646530151	103.9167709351	108.3111572266
390	90.9646530151	103.9167709351	108.3111572266
