iter	grad_loss
0	5.059859
10	0.216362
20	0.043214
30	0.010369
40	0.002149
50	0.000695
60	0.000365
70	0.000257
80	0.000223
90	0.000210
100	0.000205
110	0.000203
120	0.000202
130	0.000202
140	0.000202
150	0.000202
160	0.000202
170	0.000202
180	0.000202
190	0.000202
200	0.000202
210	0.000202
220	0.000202
230	0.000202
240	0.000202
250	0.000202
260	0.000202
270	0.000202
280	0.000202
290	0.000202
300	0.000202
310	0.000202
320	0.000202
330	0.000202
340	0.000202
350	0.000202
360	0.000202
370	0.000202
380	0.000202
390	0.000202
