iter	grad_loss
0	6.709659
10	0.649814
20	0.154608
30	0.040519
40	0.012539
50	0.003875
60	0.001608
70	0.000713
80	0.000423
90	0.000284
100	0.000224
110	0.000200
120	0.000186
130	0.000179
140	0.000175
150	0.000173
160	0.000172
170	0.000171
180	0.000171
190	0.000171
200	0.000171
210	0.000171
220	0.000171
230	0.000171
240	0.000171
250	0.000171
260	0.000171
270	0.000171
280	0.000171
290	0.000171
300	0.000171
310	0.000171
320	0.000171
330	0.000171
340	0.000171
350	0.000171
360	0.000171
370	0.000171
380	0.000171
390	0.000171
