iter	grad_loss
0	2.662433
10	47.529541
20	50.318844
30	50.318844
40	50.318844
50	50.318844
60	50.318844
70	50.318844
80	50.318844
90	50.318844
100	50.318844
110	50.318844
120	50.318844
130	50.318844
140	50.318844
150	50.318844
160	50.318844
170	50.318844
180	50.318844
190	50.318844
200	50.318844
210	50.318844
220	50.318844
230	50.318844
240	50.318844
250	50.318844
260	50.318844
270	50.318844
280	50.318844
290	50.318844
300	50.318844
310	50.318844
320	50.318844
330	50.318844
340	50.318844
350	50.318844
360	50.318844
370	50.318844
380	50.318844
390	50.318844
