iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	5.0756812096	5.0640721321	5.0598587990
10	0.2274739742	0.2157409489	0.2163624614
20	0.0409164093	0.0431287512	0.0432142243
30	0.0098777516	0.0097176339	0.0103690969
40	0.0023913162	0.0018779780	0.0021486371
50	0.0006694863	0.0005278031	0.0006948001
60	0.0002263487	0.0002237000	0.0003648706
70	0.0001072116	0.0001135760	0.0002572351
80	0.0000669422	0.0000789800	0.0002225129
90	0.0000534539	0.0000655678	0.0002097139
100	0.0000487617	0.0000607661	0.0002050407
110	0.0000473098	0.0000590715	0.0002029839
120	0.0000467150	0.0000583720	0.0002021532
130	0.0000466072	0.0000580436	0.0002018423
140	0.0000466072	0.0000580436	0.0002016407
150	0.0000466072	0.0000580436	0.0002016407
160	0.0000466072	0.0000580436	0.0002016407
170	0.0000466072	0.0000580436	0.0002016407
180	0.0000466072	0.0000580436	0.0002016407
190	0.0000466072	0.0000580436	0.0002016407
200	0.0000466072	0.0000580436	0.0002016407
210	0.0000466072	0.0000580436	0.0002016407
220	0.0000466072	0.0000580436	0.0002016407
230	0.0000466072	0.0000580436	0.0002016407
240	0.0000466072	0.0000580436	0.0002016407
250	0.0000466072	0.0000580436	0.0002016407
260	0.0000466072	0.0000580436	0.0002016407
270	0.0000466072	0.0000580436	0.0002016407
280	0.0000466072	0.0000580436	0.0002016407
290	0.0000466072	0.0000580436	0.0002016407
300	0.0000466072	0.0000580436	0.0002016407
310	0.0000466072	0.0000580436	0.0002016407
320	0.0000466072	0.0000580436	0.0002016407
330	0.0000466072	0.0000580436	0.0002016407
340	0.0000466072	0.0000580436	0.0002016407
350	0.0000466072	0.0000580436	0.0002016407
360	0.0000466072	0.0000580436	0.0002016407
370	0.0000466072	0.0000580436	0.0002016407
380	0.0000466072	0.0000580436	0.0002016407
390	0.0000466072	0.0000580436	0.0002016407
