iter	grad_loss
0	3.964908
10	0.812043
20	0.456624
30	0.200154
40	0.091141
50	0.050693
60	0.031029
70	0.020957
80	0.014505
90	0.010064
100	0.006553
110	0.004289
120	0.002774
130	0.001912
140	0.001323
150	0.000847
160	0.000546
170	0.000387
180	0.000283
190	0.000214
200	0.000164
210	0.000134
220	0.000117
230	0.000105
240	0.000096
250	0.000091
260	0.000087
270	0.000085
280	0.000083
290	0.000081
300	0.000080
310	0.000079
320	0.000079
330	0.000078
340	0.000078
350	0.000078
360	0.000078
370	0.000078
380	0.000078
390	0.000078
