iter	grad_loss
0	2.014823
10	0.694146
20	106.676208
30	106.676208
40	106.676208
50	106.676208
60	106.676208
70	106.676208
80	106.676208
90	106.676208
100	106.676208
110	106.676208
120	106.676208
130	106.676208
140	106.676208
150	106.676208
160	106.676208
170	106.676208
180	106.676208
190	106.676208
200	106.676208
210	106.676208
220	106.676208
230	106.676208
240	106.676208
250	106.676208
260	106.676208
270	106.676208
280	106.676208
290	106.676208
300	106.676208
310	106.676208
320	106.676208
330	106.676208
340	106.676208
350	106.676208
360	106.676208
370	106.676208
380	106.676208
390	106.676208
