iter	grad_loss
0	2.852805
10	0.478535
20	0.242155
30	0.114020
40	0.052353
50	0.025121
60	0.011250
70	0.005647
80	0.002990
90	0.001966
100	0.001289
110	0.000785
120	0.000529
130	0.000390
140	0.000223
150	0.000159
160	0.000116
170	0.000084
180	0.000065
190	0.000052
200	0.000041
210	0.000032
220	0.000027
230	0.000023
240	0.000019
250	0.000017
260	0.000015
270	0.000014
280	0.000013
290	0.000012
300	0.000011
310	0.000011
320	0.000011
330	0.000011
340	0.000011
350	0.000011
360	0.000011
370	0.000011
380	0.000011
390	0.000011
