iter	grad_loss
0	1.641045
10	0.455384
20	50.286430
30	50.286430
40	50.286430
50	50.286430
60	50.286430
70	50.286430
80	50.286430
90	50.286430
100	50.286430
110	50.286430
120	50.286430
130	50.286430
140	50.286430
150	50.286430
160	50.286430
170	50.286430
180	50.286430
190	50.286430
200	50.286430
210	50.286430
220	50.286430
230	50.286430
240	50.286430
250	50.286430
260	50.286430
270	50.286430
280	50.286430
290	50.286430
300	50.286430
310	50.286430
320	50.286430
330	50.286430
340	50.286430
350	50.286430
360	50.286430
370	50.286430
380	50.286430
390	50.286430
