iter	grad_loss
0	2.689789
10	0.959181
20	85.903282
30	85.903282
40	85.903290
50	85.903282
60	85.903282
70	85.903282
80	85.903282
90	85.903282
100	85.903275
110	85.903275
120	85.903275
130	85.903275
140	85.903275
150	85.903275
160	85.903275
170	85.903275
180	85.903275
190	85.903275
200	85.903275
210	85.903282
220	85.903290
230	85.903290
240	85.903290
250	85.903282
260	85.903275
270	85.903275
280	85.903275
290	85.903275
300	85.903275
310	85.903267
320	85.903275
330	85.903275
340	85.903275
350	85.903275
360	85.903282
370	85.903282
380	85.903282
390	85.903282
