iter	grad_loss
0	2.016057
10	0.659042
20	114.662216
30	114.662216
40	114.662216
50	114.662216
60	114.662216
70	114.662216
80	114.662216
90	114.662216
100	114.662216
110	114.662216
120	114.662216
130	114.662216
140	114.662216
150	114.662216
160	114.662216
170	114.662216
180	114.662216
190	114.662216
200	114.662216
210	114.662216
220	114.662216
230	114.662216
240	114.662216
250	114.662216
260	114.662216
270	114.662216
280	114.662216
290	114.662216
300	114.662216
310	114.662216
320	114.662216
330	114.662216
340	114.662216
350	114.662216
360	114.662216
370	114.662216
380	114.662216
390	114.662216
