iter	grad_loss
0	1.851746
10	0.341898
20	0.160928
30	0.080153
40	0.046250
50	0.025553
60	0.012477
70	0.007186
80	0.004712
90	0.003179
100	0.002093
110	0.001450
120	0.001099
130	0.000844
140	0.000682
150	0.000559
160	0.000461
170	0.000389
180	0.000345
190	0.000256
200	0.000215
210	0.000193
220	0.000176
230	0.000162
240	0.000150
250	0.000141
260	0.000133
270	0.000127
280	0.000122
290	0.000118
300	0.000114
310	0.000111
320	0.000108
330	0.000106
340	0.000104
350	0.000103
360	0.000101
370	0.000100
380	0.000098
390	0.000097
