iter	grad_loss
0	1.641252
10	0.448614
20	0.254079
30	0.111207
40	0.063818
50	0.041186
60	0.025308
70	0.017068
80	0.008460
90	0.005091
100	0.003300
110	0.002074
120	0.001459
130	0.001107
140	0.000878
150	0.000645
160	0.000502
170	0.000404
180	0.000316
190	0.000260
200	0.000217
210	0.000184
220	0.000117
230	0.000088
240	0.000070
250	0.000058
260	0.000047
270	0.000039
280	0.000033
290	0.000028
300	0.000024
310	0.000021
320	0.000018
330	0.000016
340	0.000014
350	0.000012
360	0.000011
370	0.000010
380	0.000010
390	0.000010
